CNPJ_FUNDO,NOME_FUNDO,DATA,COTA,VARIACAO,CAPTACAO,RESGATE,PL,COTISTA
36.178.569/0001-99,BB ACOES BOLSA AMERICANA FUNDO DE INVESTIMENTO EM ACOES,2021-08-31,1.567843,0.0008,25973534.05,5384360.9,2061473105.53,44.75
36.178.569/0001-99,BB ACOES BOLSA AMERICANA FUNDO DE INVESTIMENTO EM ACOES,2021-08-30,1.566641,0.0055,23045557.94,1171102.34,2039319570.41,44.643
36.178.569/0001-99,BB ACOES BOLSA AMERICANA FUNDO DE INVESTIMENTO EM ACOES,2021-08-27,1.558138,0.0078,16918068.42,1743029.27,2006495474.98,44.505
36.178.569/0001-99,BB ACOES BOLSA AMERICANA FUNDO DE INVESTIMENTO EM ACOES,2021-08-26,1.54612,-0.0042,30811350.89,2832843.29,1975960555.49,44.325
36.178.569/0001-99,BB ACOES BOLSA AMERICANA FUNDO DE INVESTIMENTO EM ACOES,2021-08-25,1.552715,0.0011,20441307.11,2111246.97,1956291919.72,44.128
36.178.569/0001-99,BB ACOES BOLSA AMERICANA FUNDO DE INVESTIMENTO EM ACOES,2021-08-24,1.550968,0.0003,25683505.52,3283897.27,1935781669.38,43.982
36.178.569/0001-99,BB ACOES BOLSA AMERICANA FUNDO DE INVESTIMENTO EM ACOES,2021-08-23,1.550525,0.0098,12390457.92,2203472.93,1912834911.5,43.842
36.178.569/0001-99,BB ACOES BOLSA AMERICANA FUNDO DE INVESTIMENTO EM ACOES,2021-08-20,1.535431,0.0085,4415488.55,11870286.62,1884126049.9,43.762
36.178.569/0001-99,BB ACOES BOLSA AMERICANA FUNDO DE INVESTIMENTO EM ACOES,2021-08-19,1.522542,0.0033,10020781.29,4401338.72,1875702365.76,43.905
36.178.569/0001-99,BB ACOES BOLSA AMERICANA FUNDO DE INVESTIMENTO EM ACOES,2021-08-18,1.517507,-0.011,14164387.91,4179170.86,1863899179.44,43.861999999999995
36.178.569/0001-99,BB ACOES BOLSA AMERICANA FUNDO DE INVESTIMENTO EM ACOES,2021-08-17,1.534309,-0.006786,23645182.18,6499057.05,1874440392.24,43811.0
36.178.569/0001-99,BB ACOES BOLSA AMERICANA FUNDO DE INVESTIMENTO EM ACOES,2021-08-16,1.544793,0.002371,16821170.25,2214262.32,1869984727.44,43698.0
36.178.569/0001-99,BB ACOES BOLSA AMERICANA FUNDO DE INVESTIMENTO EM ACOES,2021-08-13,1.541139,0.001892,20581887.76,888653.73,1850989220.18,43523.0
36.178.569/0001-99,BB ACOES BOLSA AMERICANA FUNDO DE INVESTIMENTO EM ACOES,2021-08-12,1.538228,0.002291,16930465.72,2172158.89,1827837413.71,43334.0
36.178.569/0001-99,BB ACOES BOLSA AMERICANA FUNDO DE INVESTIMENTO EM ACOES,2021-08-11,1.534712,0.002698,10176390.44,1632811.32,1808934958.54,43198.0
36.178.569/0001-99,BB ACOES BOLSA AMERICANA FUNDO DE INVESTIMENTO EM ACOES,2021-08-10,1.530583,0.00103,9055986.44,2051977.26,1795547749.26,43092.0
36.178.569/0001-99,BB ACOES BOLSA AMERICANA FUNDO DE INVESTIMENTO EM ACOES,2021-08-09,1.529008,-0.001998,26902821.75,1929724.86,1786703172.36,42912.0
36.178.569/0001-99,BB ACOES BOLSA AMERICANA FUNDO DE INVESTIMENTO EM ACOES,2021-08-06,1.53207,0.003629,25522060.96,1943716.61,1765257835.96,42777.0
36.178.569/0001-99,BB ACOES BOLSA AMERICANA FUNDO DE INVESTIMENTO EM ACOES,2021-08-05,1.52653,0.005732,10812935.35,1331872.63,1735381080.0,42707.0
36.178.569/0001-99,BB ACOES BOLSA AMERICANA FUNDO DE INVESTIMENTO EM ACOES,2021-08-04,1.51783,-0.003386,8173307.52,2133956.71,1716063602.9,42607.0
36.178.569/0001-99,BB ACOES BOLSA AMERICANA FUNDO DE INVESTIMENTO EM ACOES,2021-08-03,1.522987,0.006591,9453369.69,1300756.72,1715834451.67,42579.0
36.178.569/0001-99,BB ACOES BOLSA AMERICANA FUNDO DE INVESTIMENTO EM ACOES,2021-08-02,1.513015,-0.00352,11576373.55,815339.27,1696500722.5,42405.0
36.178.569/0001-99,BB ACOES BOLSA AMERICANA FUNDO DE INVESTIMENTO EM ACOES,2021-07-30,1.51836,0.000377,16588572.92,1063327.7,1691694911.58,42261.0
36.178.569/0001-99,BB ACOES BOLSA AMERICANA FUNDO DE INVESTIMENTO EM ACOES,2021-07-29,1.517788,0.001002,11112140.22,1083810.16,1675538562.55,42163.0
36.178.569/0001-99,BB ACOES BOLSA AMERICANA FUNDO DE INVESTIMENTO EM ACOES,2021-07-28,1.516269,0.0019,9825757.18,1681724.06,1663843595.54,42085.0
36.178.569/0001-99,BB ACOES BOLSA AMERICANA FUNDO DE INVESTIMENTO EM ACOES,2021-07-27,1.513394,-0.007995,7588312.46,2655757.28,1652559607.89,41984.0
